release_year,spotify_streams
1987,1879386440
1991,2021910364
1994,1810649765
1998,178339925
1999,1405353677
2000,3843533100
2001,399145178
2002,9063840343
2003,4508044443
2004,6163006377
2005,6111892891
2006,3288324199
2007,5216022694
2008,12871154068
2009,16186431240
2010,26123996288
2011,54241058712
2012,58793901855
2013,56459390105
2014,59099716047
2015,101825806749
2016,121976275260
2017,189508136758
2018,190967096865
2019,197469458194
2020,181546747102
2021,189608823933
2022,209409259280
2023,225245837239
2024,69397259062
