artist,spotify_streams,youtube_views,tiktok_posts,tiktok_likes,tiktok_views,spotify_rank,youtube_rank,tiktok_rank,overall_rank
Bad Bunny,37054834425,25072757092,24314381,4597441239,45947009631,1.0,2.0,6.0,9.0
Taylor Swift,34470771165,20140603852,13398495,3559060580,30020057523,4.0,3.0,13.0,20.0
Ed Sheeran,24014900390,27273658604,19346816,2009384236,22141665963,6.0,1.0,32.0,39.0
Drake,34962157577,11534703000,17378268,2595144024,22477366399,3.0,24.0,28.0,55.0
The Weeknd,36948540278,18635601580,8078890,1567463974,14358656336,2.0,6.0,55.0,63.0
Sia,10586689082,13306912975,15406350,2419132927,31094492559,33.0,20.0,12.0,65.0
Bts,10100857672,15018884324,13244872,3854446026,26885435932,37.0,15.0,17.0,69.0
Imagine Dragons,17157121647,15339748154,12401673,1534355645,17224041937,12.0,14.0,46.0,72.0
Doja Cat,15856288522,5938928297,28489769,6562093256,53526243037,19.0,55.0,4.0,78.0
Justin Bieber,16647801287,19336283617,11231290,1386099809,13475976913,15.0,5.0,58.0,78.0
